 Razón Social , Empleado Venta , Almacén , Cliente Nombre , Cliente Doc. , #-DOC , # Doc. Relacionado , Fecha , Hora , Tip. Doc. , Unidad , Cantidad , Precio de Venta , IGV , Total , Descuento aplicado (%) , Conversión , Moneda , Codigo SKU , Cod. alternativo , Marca , Categoría , Características , Nombre , Descripción , Proveedor , Precio de costo , Empleado registro 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117365 ,  , 2025-08-13 , 07:45:32 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510192 , 192 , ALFA , PLATOS ,  , B5 JUNIOR ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117365 ,  , 2025-08-13 , 07:45:32 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510325 , 325 , PAMOLSA , ENVASES ,  , 1/2L EC BL CACER ,  , DESCARTABLES PROVEEDORES S.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117365 ,  , 2025-08-13 , 07:45:32 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510498 , 498 , PLASTIMIQ , BOLSA ,  , 10*15 RAYO ,  , POLIMIQ DEL PERU S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117366 ,  , 2025-08-13 , 07:48:52 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510253 ,  , LIZ , PAPEL ,  , LIZ CO DOBLADO ,  , CONSORCIO LIZ SOCIEDAD ANONIMA CERRADA - CONSORCIO LIZ S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117366 ,  , 2025-08-13 , 07:48:52 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510498 , 498 , PLASTIMIQ , BOLSA ,  , 10*15 RAYO ,  , POLIMIQ DEL PERU S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Dora  Verdura , 99999999 , BB02-117367 ,  , 2025-08-13 , 07:49:49 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510198 ,  , ALFA , BOLSA ,  , 6*12*100 CRISTAL AZUL ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Dora  Verdura , 99999999 , BB02-117367 ,  , 2025-08-13 , 07:49:49 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510154 , 154 , ALFA , BOLSA ,  , 10*15*90 SOL NAT ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117368 ,  , 2025-08-13 , 07:59:47 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510411 , 411 , HAWAI , PLATOS ,  , DELI 800 ,  , INDUSTRIAS HAWAI S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117368 ,  , 2025-08-13 , 07:59:47 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510325 , 325 , PAMOLSA , ENVASES ,  , 1/2L EC BL CACER ,  , DESCARTABLES PROVEEDORES S.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117368 ,  , 2025-08-13 , 07:59:47 , BOLETA DE VENTA , UNIDAD ,0,0,0,0,0,0, PEN , 2510250 , 250 , LIZ , PAPEL ,  , LIZ AZ ROLLO ,  , CONSORCIO LIZ SOCIEDAD ANONIMA CERRADA - CONSORCIO LIZ S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510319 , 319 , PAMOLSA , ENVASES ,  , 8OZ EC CACER TR PP ,  , DESCARTABLES PROVEEDORES S.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510315 , 315 , PAMOLSA , VASOS ,  , TAPA 6-8 CACER ,  , INVERSIONES MAGDY S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510256 , 256 , PULPINI , PAPEL ,  , SERVILLETA GRANEL ,  , RINBRAX S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510129 , 129 , ALFA , BOLSA ,  , 16*19*100 BL SOL ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510119 , 119 , ALFA , BOLSA ,  , 12*16*100 BL ASITA ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510192 , 192 , ALFA , PLATOS ,  , B5 JUNIOR ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510283 , 283 , PLASTIMIQ , BOLSA ,  , RAYO 6OZ ,  , POLIMIQ DEL PERU S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117369 ,  , 2025-08-13 , 08:00:50 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510325 , 325 , PAMOLSA , ENVASES ,  , 1/2L EC BL CACER ,  , DESCARTABLES PROVEEDORES S.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117370 ,  , 2025-08-13 , 08:02:37 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510325 , 325 , PAMOLSA , ENVASES ,  , 1/2L EC BL CACER ,  , DESCARTABLES PROVEEDORES S.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117370 ,  , 2025-08-13 , 08:02:37 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510203 , 203 , ALFA , BOLSA ,  , 3*6*50 CRISTAL ROJO ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-117370 ,  , 2025-08-13 , 08:02:37 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510293 , 293 , EUROPEA , CUBIERTO ,  , TENEDOR 6 ,  , INDUSTRIAS HAWAI S.A.C. ,0, TONY TONY 
