"Id","Date","Type","Quantity","Reason","PreviousStock","NewStock","DocumentNumber","UserName","Source","UnitCost","TotalCost","ProductId","StoreId","ProductStockId","SaleId","PurchaseId","CreatedAt","UpdatedAt","IsDeleted"
1,"2025-04-24 19:00:00-05",11,-4,"Venta importada desde Tandia - BB02-102939",0,-4,"BB02-102939","Tandia_Import","Tandia_Import","9.5000","38.00",367,1,1,NULL,NULL,"2025-08-13 00:56:45.69023-05",NULL,False
2,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102939",0,-1,"BB02-102939","Tandia_Import","Tandia_Import","7.9000","7.90",97,1,2,NULL,NULL,"2025-08-13 00:56:45.709136-05",NULL,False
3,"2025-04-24 19:00:00-05",11,-2,"Venta importada desde Tandia - BB02-102939",0,-2,"BB02-102939","Tandia_Import","Tandia_Import","4.9000","9.80",145,1,3,NULL,NULL,"2025-08-13 00:56:45.720904-05",NULL,False
4,"2025-04-24 19:00:00-05",11,-2,"Venta importada desde Tandia - BB02-102939",0,-2,"BB02-102939","Tandia_Import","Tandia_Import","1.0000","2.00",170,1,4,NULL,NULL,"2025-08-13 00:56:45.731199-05",NULL,False
5,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102939",0,-1,"BB02-102939","Tandia_Import","Tandia_Import","4.5000","4.50",57,1,5,NULL,NULL,"2025-08-13 00:56:45.741159-05",NULL,False
6,"2025-04-24 19:00:00-05",11,-2,"Venta importada desde Tandia - BB02-102939",0,-2,"BB02-102939","Tandia_Import","Tandia_Import","0.5000","1.00",108,1,6,NULL,NULL,"2025-08-13 00:56:45.752704-05",NULL,False
7,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102939",0,-1,"BB02-102939","Tandia_Import","Tandia_Import","3.5000","3.50",417,1,7,NULL,NULL,"2025-08-13 00:56:45.763601-05",NULL,False
8,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102940",0,-1,"BB02-102940","Tandia_Import","Tandia_Import","3.0000","3.00",348,1,8,NULL,NULL,"2025-08-13 00:56:45.856095-05",NULL,False
9,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102940",0,-1,"BB02-102940","Tandia_Import","Tandia_Import","0.9000","0.90",49,1,9,NULL,NULL,"2025-08-13 00:56:45.867447-05",NULL,False
10,"2025-04-24 19:00:00-05",11,-2,"Venta importada desde Tandia - BB02-102940",0,-2,"BB02-102940","Tandia_Import","Tandia_Import","1.5000","3.00",201,1,10,NULL,NULL,"2025-08-13 00:56:45.878538-05",NULL,False
11,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102941",0,-1,"BB02-102941","Tandia_Import","Tandia_Import","1.0000","1.00",47,1,11,NULL,NULL,"2025-08-13 00:56:45.89633-05",NULL,False
12,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102942",0,-1,"BB02-102942","Tandia_Import","Tandia_Import","0.8000","0.80",56,1,12,NULL,NULL,"2025-08-13 00:56:45.910272-05",NULL,False
13,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102943",0,-1,"BB02-102943","Tandia_Import","Tandia_Import","4.0000","4.00",168,1,13,NULL,NULL,"2025-08-13 00:56:45.927752-05",NULL,False
14,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102943",0,-1,"BB02-102943","Tandia_Import","Tandia_Import","3.5000","3.50",281,1,14,NULL,NULL,"2025-08-13 00:56:45.939777-05",NULL,False
15,"2025-04-24 19:00:00-05",11,-1,"Venta importada desde Tandia - BB02-102943",0,-1,"BB02-102943","Tandia_Import","Tandia_Import","2.5000","2.50",414,1,15,NULL,NULL,"2025-08-13 00:56:45.952839-05",NULL,False
16,"2025-04-24 19:00:00-05",11,-10,"Venta importada desde Tandia - NT02-13694",0,-10,"NT02-13694","Tandia_Import","Tandia_Import","1.2500","12.50",428,1,16,NULL,NULL,"2025-08-13 00:56:45.98921-05",NULL,False
