 Razón Social , Empleado Venta , Almacén , Cliente Nombre , Cliente Doc. , #-DOC , # Doc. Relacionado , Fecha , Hora , Tip. Doc. , Unidad , Cantidad , Precio de Venta , IGV , Total , Descuento aplicado (%) , Conversión , Moneda , Codigo SKU , Cod. alternativo , Marca , Categoría , Características , Nombre , Descripción , Proveedor , Precio de costo , Empleado registro 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510437 ,  , HAWAI , PLATOS ,  , P26 HAWAI ,  , INDUSTRIAS HAWAI S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510192 ,  , ALFA , PLATOS ,  , B5 JUNIOR ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510295 ,  , EUROPEA , CUBIERTO ,  , TENEDOR ACRILICO TR 10 ,  , INDUSTRIAS EUROPEAS S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510255 ,  , PULPINI , PAPEL ,  , PULPINI SERVILLETA ,  , RINBRAX S.A.C. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510152 ,  , ALFA , BOLSA ,  , 14*20 LORO BL ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510203 ,  , ALFA , BOLSA ,  , 3*6*50 CRISTAL ROJO ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102939 ,  , 2025-04-25 , 07:52:06 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510487 ,  , PLASTIMIQ , BOLSA ,  , 16*19 REALCITO ,  , PLASTIMIQ S.R.LTDA. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102940 ,  , 2025-04-25 , 07:55:01 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510424 ,  , ALFA , PLATOS ,  , P17 PP ALFA ,  , GRUPO PERU ALFA TRADER SOCIEDAD ANONIMA CERRADA ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102940 ,  , 2025-04-25 , 07:55:01 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510143 ,  , ALFA , BOLSA ,  , 7*10*70 SOL NAT ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102940 ,  , 2025-04-25 , 07:55:01 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510283 ,  , PLASTIMIQ , BOLSA ,  , RAYO 6OZ ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
 INVERSIONES HRCII S.A.C. , TONY TONY , Tienda Tantamayo , Cliente Genérico , 99999999 , BB02-102941 ,  , 2025-04-25 , 07:59:08 , BOLETA DE VENTA , PAQUETE ,0,0,0,0,0,0, PEN , 2510141 ,  , ALFA , BOLSA ,  , 8*12*70 SOL NAT ,  , DISTRIBUIDORA FORTIPLAST E.I.R.L. ,0, TONY TONY 
