 Tienda , Código , Cod. barras , Nombre , Descripción , Categorias , Marca , Características , Impuestos , P. costo , Estado , Stock , Stock min , Ubicación , P. venta , Unidad , Nombre de lista de precio , Factor de conversión , Precio al por mayor , Cantidad mínima , Cantidad máxima 
 Tienda Tantamayo , 2510100 ,  , 14*20 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510101 ,  , 5*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510101 ,  , 5*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510101 ,  , 5*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , COMBO1 ,0,0,0,0
 Tienda Tantamayo , 2510101 ,  , 5*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510102 ,  , 7*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510102 ,  , 7*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510102 ,  , 7*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , ANA ,0,0,0,0
 Tienda Tantamayo , 2510102 ,  , 7*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , COMBO1 ,0,0,0,0
 Tienda Tantamayo , 2510102 ,  , 7*10 ROLLOSITO ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
